Area Name,ZIP CODE,10,15,20,25
Abell,20606,24,356,495,911
Aberdeen ,21001,956,1224,2218,3865
Aberdeen Proving Ground ,21005,207,1058,2009,3015
Abingdon ,21009,1084,2048,3836,4912
Accident ,21520,104,108,116,177
Accokeek ,20607,4012,4946,5000,5000
Adamstown ,21710,931,1887,4633,5000
Allen ,21810,393,410,461,535
Andrews Air Force Base ,20762,4941,5000,5000,5000
Annapolis ,21401,2762,5000,5000,5000
Annapolis ,21402,2809,4961,5000,5000
Annapolis ,21403,2562,4997,5000,5000
Annapolis ,21404,2761,5000,5000,5000
Annapolis ,21405,4156,5000,5000,5000
Annapolis ,21411,2765,5000,5000,5000
Annapolis ,21412,4231,5000,5000,5000
Annapolis Junction ,20701,3630,5000,5000,5000
Aquasco ,20608,458,1369,2149,5000
Arnold ,21012,3557,5000,5000,5000
Ashton ,20861,3858,5000,5000,5000
Avenue ,20609,24,334,509,1414
Baldwin ,21013,2895,4211,5000,5000
Baltimore ,21201,4211,5000,5000,5000
Baltimore ,21202,4218,5000,5000,5000
Baltimore ,21203,3956,5000,5000,5000
Baltimore ,21205,3860,5000,5000,5000
Baltimore ,21206,3955,5000,5000,5000
Baltimore ,21209,4190,5000,5000,5000
Baltimore ,21210,4538,5000,5000,5000
Baltimore ,21211,4420,5000,5000,5000
Baltimore ,21212,4493,5000,5000,5000
Baltimore ,21213,4169,5000,5000,5000
Baltimore ,21214,4427,5000,5000,5000
Baltimore ,21215,4476,5000,5000,5000
Baltimore ,21216,4898,5000,5000,5000
Baltimore ,21217,4441,5000,5000,5000
Baltimore ,21218,4427,5000,5000,5000
Baltimore ,21223,4715,5000,5000,5000
Baltimore ,21224,2869,5000,5000,5000
Baltimore ,21229,4794,5000,5000,5000
Baltimore ,21230,2803,5000,5000,5000
Baltimore ,21233,3994,5000,5000,5000
Baltimore ,21235,4925,5000,5000,5000
Baltimore ,21239,4549,5000,5000,5000
Baltimore ,21240,4015,5000,5000,5000
Baltimore ,21241,4803,5000,5000,5000
Baltimore ,21250,4645,5000,5000,5000
Baltimore ,21251,4491,5000,5000,5000
Baltimore ,21252,4373,5000,5000,5000
Baltimore ,21263,3948,5000,5000,5000
Baltimore ,21264,3948,5000,5000,5000
Baltimore ,21265,4021,5000,5000,
Baltimore ,21268,4021,5000,5000,
Baltimore ,21270,4506,5000,5000,5000
Baltimore ,21273,3948,5000,5000,5000
Baltimore ,21274,3578,5000,4165,
Baltimore ,21275,3944,5000,5000,5000
Baltimore ,21278,4190,5000,5000,5000
Baltimore ,21279,3943,5000,5000,5000
Baltimore ,21280,3578,5000,4165,
Baltimore ,21281,3867,5000,5000,5000
Baltimore ,21282,4316,5000,5000,5000
Baltimore ,21283,3400,3706,3957,
Baltimore ,21284,3765,5000,5000,5000
Baltimore ,21285,4329,5000,5000,5000
Baltimore ,21287,3986,5000,5000,5000
Baltimore ,21288,3358,5000,3981,
Baltimore ,21289,3942,5000,5000,5000
Baltimore ,21290,3999,5000,5000,5000
Baltimore ,21297,3941,5000,5000,5000
Baltimore ,21298,3941,5000,5000,5000
Barclay ,21607,1,99,873,1015
Barnesville ,20838,805,4538,5000,5000
Barstow ,20610,360,431,1795,2427
Barton ,21521,56,72,287,338
Beallsville ,20839,1317,4562,5000,5000
Bel Air ,21014,1052,2043,4184,4970
Bel Air ,21015,1047,1308,3045,5000
Bel Alton ,20611,540,1069,1372,5000
Belcamp ,21017,1035,1629,2439,5000
Beltsville ,20704,4910,5000,5000,5000
Beltsville ,20705,4952,5000,5000,5000
Benedict ,20612,367,788,1813,2534
Benson ,21018,1333,3303,4893,5070
Berlin ,21811,386,663,1345,1652
Bethesda ,20813,4948,5000,5000,5000
Bethesda ,20814,4712,5000,5000,5000
Bethesda ,20816,4944,5000,5000,5000
Bethesda ,20817,4871,5000,5000,5000
Bethesda ,20824,4935,5000,5000,5000
Bethesda ,20827,4861,5000,5000,5000
Bethesda ,20889,4871,5000,5000,5000
Bethesda ,20892,4870,5000,5000,5000
Bethesda ,20894,4870,5000,5000,5000
Bethlehem ,21609,254,376,535,741
Betterton ,21610,7,304,1475,2732
Big Pool ,21711,18,375,912,1060
Bishopville ,21813,1162,1283,1296,2872
Bittinger ,21522,105,106,365,198
Bivalve ,21814,3,6,428,556
Bladensburg ,20710,4817,5000,5000,5000
Bloomington ,21523,27,75,210,354
Boonsboro ,21713,392,692,2169,2389
Boring ,21020,668,3066,4968,5000
Bowie ,20715,4244,5000,5000,5000
Bowie ,20716,4434,5000,5000,5000
Bowie ,20717,3690,5000,5000,5000
Bowie ,20718,3912,5000,5000,5000
Bowie ,20719,3912,5000,5000,5000
Bowie ,20720,3978,5000,5000,5000
Bowie ,20721,3839,5000,5000,5000
Boyds ,20841,2791,5000,5000,5000
Bozman ,21612,46,332,1305,3519
Braddock Heights ,21714,946,1113,1796,3811
Brandywine ,20613,1238,3303,5000,5000
Brentwood ,20722,4816,5000,5000,5000
Brinklow ,20862,3232,5000,5000,5000
Brookeville ,20833,2371,5000,5000,5000
Brooklandville ,21022,4083,5000,5000,5000
Brooklyn ,21225,2958,5000,5000,5000
Broomes Island ,20615,506,723,754,1870
Brownsville ,21715,115,1220,2471,3553
Brunswick ,21716,49,1707,2436,5000
Bryans Road ,20616,2731,5000,5000,5000
Bryantown ñ ,20617,1039,1384,3343,5000
Buckeystown ñ ,21717,1056,1485,4188,5000
Burkittsville ,21718,112,1259,2448,3684
Burtonsville ,20866,4464,5000,5000,5000
Bushwood ,20618,41,225,599,1862
Butler ,21023,1444,3570,5000,5000
Cabin John ,20818,4843,5000,5000,5000
California ,20619,372,381,681,827
Callaway ,20620,364,381,432,756
Cambridge ,21613,106,328,385,404
Capitol Heights ,20731,4885,5000,5000,5000
Capitol Heights ,20743,4790,5000,5000,5000
Capitol Heights ,20790,4867,5000,5000,5000
Capitol Heights ,20791,4819,5000,5000,5000
Capitol Heights ,20799,4798,5000,5000,5000
Cascade ,21719,151,474,1055,1957
Catonsville ,21228,4749,5000,5000,5000
Cavetown ,21720,502,587,1299,2274
Cecilton ,21913,190,447,760,1669
Centreville ,21617,48,333,627,1467
Chaptico ,20621,83,206,1364,1875
Charlestown ,21914,275,631,2016,3511
Charlotte Hall ,20622,93,1370,1847,3534
Chase ,21027,1578,4593,5000,5000
Cheltenham ,20623,1316,5000,5000,5000
Chesapeake Beach ,20732,444,467,1019,5000
Chesapeake City ,21915,426,925,1507,2836
Chester ,21619,230,2643,3694,5000
Chestertown ,21620,72,100,529,2214
Chestertown ,21690,70,103,253,1636
Chevy Chase ,20815,4873,5000,5000,5000
Chevy Chase ,20825,4867,5000,5000,5000
Chewsville ,21721,473,581,1295,2286
Childs ,21916,492,1551,2746,3587
Church Creek ,21622,4,90,228,447
Church Hill ,21623,75,122,271,1318
Churchton ,20733,220,3385,5000,5000
Churchville ,21028,1070,1148,2168,4264
Claiborne ,21624,244,822,2964,3614
Clarksburg ,20871,1069,5000,5000,5000
Clarksville ,21029,3109,5000,5000,5000
Clear Spring ,21722,108,768,938,1249
Clements ,20624,84,399,1097,1838
Clinton ,20735,3619,5000,5000,5000
Cobb Island ,20625,42,113,456,743
Cockeysville ,21030,2302,3657,5000,5000
College Park ,20740,4790,5000,5000,5000
College Park ,20741,4829,5000,5000,5000
College Park ,20742,4781,5000,5000,5000
Colora ,21917,154,299,1686,2850
Coltons Point ,20626,33,93,521,675
Columbia ,21044,3243,5000,5000,5000
Columbia ,21045,3300,5000,5000,5000
Columbia ,21046,3670,5000,5000,5000
Compton ,20627,192,434,705,934
Conowingo ,21918,23,629,1446,2097
Cooksville ,21723,982,3872,5000,5000
Cordova ,21625,254,380,589,745
Corriganville ,21524,150,155,158,215
Crapo ,21626,2,8,208,466
Crisfield ,21817,8,9,30,35
Crocheron ,21627,0,0,13,143
Crofton ,21114,4817,5000,5000,5000
Crownsville ,21032,4994,5000,5000,5000
Crumpton ,21628,73,85,293,1238
Cumberland ,21501,155,158,180,231
Cumberland ,21502,122,158,158,231
Cumberland ,21503,155,158,185,239
Cumberland ,21504,155,155,185,230
Cumberland ,21505,155,180,229,237
Curtis Bay ,21226,2671,5000,5000,5000
Damascus ,20872,764,4440,5000,5000
Dameron ,20628,5,323,381,396
Darlington ,21034,85,1195,1368,2613
Davidsonville ,21035,3714,5000,5000,5000
Dayton ,21036,1880,5000,5000,5000
Deal Island ,21821,0,11,28,443
Deale ,20751,190,3381,5000,5000
Delmar ,21875,451,479,805,1635
Denton ,21629,39,51,518,1341
Derwood ,20855,4712,5000,5000,5000
Dickerson ,20842,394,4853,5000,5000
District Heights ,20747,4759,5000,5000,5000
District Heights ,20753,4791,5000,5000,5000
Dowell ,20629,354,382,673,751
Drayden ,20630,47,369,387,408
Dundalk ,21222,2323,5000,5000,5000
Dunkirk ,20754,340,1145,5000,5000
Earleville ,21919,66,499,761,2305
